"key";"ru";"hy-AM"
"superadmin.billing.reports.exportTitle";"Экспорт";"Արտահանել"
"superadmin.billing.reports.forecastHint";"По среднему за последние 7 дней";"Վերջին 7 օրվա միջինի հիման վրա"
"superadmin.billing.reports.forecastTitle";"Прогноз";"Պրոգնոզ"
"superadmin.billing.reports.from";"С";"Սկսած"
"superadmin.billing.reports.last7";"7 дней";"Վերջին 7 օր"
"superadmin.billing.reports.lastMonth";"Прошлый месяц";"Անցած ամիս"
"superadmin.billing.reports.noCampaigns";"Нет данных";"Տվյալներ չկան"
"superadmin.billing.reports.presetMonth";"30 дней";"30 օր"
"superadmin.billing.reports.presetToday";"Сегодня";"Այսօր"
"superadmin.billing.reports.presetWeek";"7 дней";"7 օր"
"superadmin.billing.reports.projected";"Прогноз на 30 дн.";"30-օրյա прогноз"
"superadmin.billing.reports.recentAds";"Последние оплаты рекламы";"Վերջին գովազդային վճարումներ"
"superadmin.billing.reports.stripeOff";"Stripe не подключён — отчёты недоступны.";"Stripe-ը միացված չէ — հաշվետվություններ չկան։"
"superadmin.billing.reports.thisMonth";"Этот месяц";"Այս ամիս"
"superadmin.billing.reports.to";"По";"Մինչև"
"superadmin.billing.retry";"Повторить";"Կրկնել"
"superadmin.billing.stripeWarning";"Stripe не настроен (STRIPE_SECRET_KEY). Карточки и графики покажут нули.";"Stripe-ը կարգավորված չէ (STRIPE_SECRET_KEY)։ Քարտերն ու գրաֆիկները կլինեն զրո։"
"superadmin.billing.structure.ads";"Реклама";"Գովազդներ"
"superadmin.billing.structure.error";"Не удалось загрузить";"Չբեռնվեց"
"superadmin.billing.structure.noData";"Нет платежей за месяц";"Այս ամիս վճարումներ չկան"
"superadmin.billing.structure.other";"Прочее";"Այլ"
"superadmin.billing.structure.subscriptions";"Подписки";"Բաժանորդագրություններ"
"superadmin.billing.structure.subtitle";"Текущий календарный месяц";"Ընթացիկ օրացուցային ամիս"
"superadmin.billing.structure.title";"Структура дохода";"Եկամտի կազմ"
"superadmin.billing.structure.total";"Всего";"Ընդհանուր"
"superadmin.billing.title";"Биллинг";"Վճարումներ"
"superadmin.billing.toastExportErr";"Не удалось выгрузить CSV";"Հնարավոր չէր արտահանել CSV"
"superadmin.billing.toastExportOk";"Файл скачан";"Ֆայլը ներբեռնվել է"
"superadmin.billing.toastSelectDates";"Укажите период экспорта";"Ընտրեք արտահանման ամսաթվերի միջակայք"
"superadmin.billing.topCompanies.amount";"Сумма";"Գումար"
"superadmin.billing.topCompanies.company";"Компания";"Ընկերություն"
"superadmin.billing.topCompanies.count";"Платежей";"Վճարումներ"
"superadmin.billing.topCompanies.empty";"Нет данных";"Տվյալներ չկան"
"superadmin.billing.topCompanies.error";"Ошибка загрузки";"Բեռնման սխալ"
"superadmin.billing.topCompanies.subtitle";"По сумме платежей за текущий месяц";"Այս ամիս վճարումների ծավալով"
"superadmin.billing.topCompanies.title";"Топ компаний";"Թոփ ընկերություններ"
"superadmin.billing.transactions.columns.amount";"Сумма";"Գումար"
"superadmin.billing.transactions.columns.company";"Компания";"Ընկերություն"
"superadmin.billing.transactions.columns.date";"Дата";"Ամսաթիվ"
"superadmin.billing.transactions.columns.description";"Описание";"Նկարագրություն"
"superadmin.billing.transactions.columns.type";"Тип";"Տեսակ"
"superadmin.billing.transactions.empty";"Нет транзакций";"Գործարքներ չկան"
"superadmin.billing.transactions.filters.allTypes";"Все типы";"Բոլոր տեսակները"
"superadmin.billing.transactions.filters.type";"Тип";"Տեսակ"
"superadmin.billing.transactions.loadError";"Ошибка загрузки";"Բեռնման սխալ"
"superadmin.billing.transactions.next";"Вперёд";"Հաջորդ"
"superadmin.billing.transactions.prev";"Назад";"Նախորդ"
"superadmin.billing.transactions.title";"Все транзакции";"Բոլոր գործարքները"
"superadmin.billing.transactions.types.advertisement";"Реклама";"Գովազդ"
"superadmin.billing.transactions.types.other";"Прочее";"Այլ"
"superadmin.billing.transactions.types.subscription";"Подписка";"Բաժանորդագրություն"
"superadmin.billing.transactions.types.unknown";"Прочее";"Այլ"
"superadmin.businessEvents.description";"Важные события на платформе: регистрации, заказы, кампании, достижения";"Կարևոր իրադարձություններ՝ գրանցումներ, պատվերներ, կամպանիաներ, նվաճումներ"
"superadmin.businessEvents.filters.allTypes";"Все типы событий";"Բոլոր իրադարձության տեսակները"
"superadmin.businessEvents.filters.clear";"Очистить";"Մաքրել"
"superadmin.businessEvents.filters.search";"Поиск по заголовку, описанию, компании...";"Որոնել վերնագրով, նկարագրությամբ, ընկերությամբ…"
"superadmin.businessEvents.timeline.company";"Компания";"Ընկերություն"
"superadmin.businessEvents.timeline.noEvents";"Нет бизнес-событий для отображения";"Ցուցադրելու բիզնես իրադարձություններ չկան"
"superadmin.businessEvents.timeline.noEventsDesc";"События будут появляться автоматически при регистрации компаний, крупных заказах и других важных действиях";"Իրադարձությունները կհայտնվեն ավտոմատ՝ ընկերությունների գրանցման, մեծ պատվերների և այլ կարևոր գործողությունների ժամանակ"
"superadmin.businessEvents.timeline.user";"Пользователь";"Օգտատեր"
"superadmin.businessEvents.title";"Бизнес-события";"Բիզնես իրադարձություններ"
"superadmin.businessEvents.types.business_registered";"Регистрация бизнеса";"Բիզնեսը գրանցվել է"
"superadmin.businessEvents.types.business_verified";"Бизнес верифицирован";"Բիզնեսը հաստատված է"
"superadmin.businessEvents.types.campaign_started";"Запуск кампании";"Կամպանիան սկսվել է"
"superadmin.businessEvents.types.complaint_received";"Получена жалоба";"Բողոք է ստացվել"
"superadmin.businessEvents.types.large_order";"Крупный заказ";"Մեծ պատվեր"
"superadmin.businessEvents.types.milestone_reached";"Достижение вехи";"Նվաճում"
"superadmin.businessEvents.types.payment_received";"Получен платёж";"Վճարումը ստացվել է"
"superadmin.businessEvents.types.review_flagged";"Отзыв отмечен";"Կարծիքը նշված է"
"superadmin.companiesTable.approve";"Одобрить";"Հաստատել"
"superadmin.companiesTable.approveFail";"Не удалось одобрить";"Հնարավոր չէր հաստատել"
"superadmin.companiesTable.approved";"Компания одобрена";"Ընկերությունը հաստատվել է"
"superadmin.companiesTable.block";"Заблокировать";"Արգելել"
"superadmin.companiesTable.blockFail";"Не удалось заблокировать";"Հնարավոր չէր արգելել"
"superadmin.companiesTable.blocked";"Компания заблокирована";"Ընկերությունը արգելվել է"
"superadmin.companiesTable.cancel";"Отмена";"Չեղարկել"
"superadmin.companiesTable.colBookings";"Бронирований";"Ամրագրումներ"
"superadmin.companiesTable.colContacts";"Контакты";"Կոնտակտներ"
"superadmin.companiesTable.colName";"Название";"Անուն"
"superadmin.companiesTable.colOwner";"Владелец";"Սեփականատեր"
"superadmin.companiesTable.colRevenue";"Выручка";"Եկամուտ"
"superadmin.companiesTable.colStatus";"Статус";"Կարգավիճակ"
"superadmin.companiesTable.colSubscription";"Тариф";"Պլան"
"superadmin.companiesTable.confirm";"Подтвердить";"Հաստատել"
"superadmin.companiesTable.confirmApproveMsg";"Одобрить ""{name}""?";"Հաստատե՞լ «{name}»-ը"
"superadmin.companiesTable.confirmApproveTitle";"Одобрить компанию?";"Հաստատե՞լ ընկերությունը"
"superadmin.companiesTable.confirmBlockMsg";"Заблокировать ""{name}""?";"Արգելե՞լ «{name}»-ը"
"superadmin.companiesTable.confirmBlockTitle";"Заблокировать компанию?";"Արգելե՞լ ընկերությունը"
"superadmin.companiesTable.confirmRejectMsg";"Отклонить ""{name}""?";"Մերժե՞լ «{name}»-ը"
"superadmin.companiesTable.confirmRejectTitle";"Отклонить компанию?";"Մերժե՞լ ընկերությունը"
"superadmin.companiesTable.empty";"Нет компаний";"Ընկերություններ չկան"
"superadmin.companiesTable.open";"Открыть";"Բացել"
"superadmin.companiesTable.reject";"Отклонить";"Մերժել"
"superadmin.companiesTable.rejectFail";"Не удалось отклонить";"Հնարավոր չէր մերժել"
"superadmin.companiesTable.rejected";"Компания отклонена";"Ընկերությունը մերժվել է"
"superadmin.companiesTable.status.active";"Активна";"Ակտիվ"
"superadmin.companiesTable.status.pending";"На модерации";"Սպասում"
"superadmin.companiesTable.status.rejected";"Отклонена";"Մերժված"
"superadmin.companiesTable.status.suspended";"Заблокирована";"Կասեցված"
"superadmin.companiesTable.subscription.basic";"Базовый";"Հիմնական"
"superadmin.companiesTable.subscription.enterprise";"Корпоративный";"Enterprise"
"superadmin.companiesTable.subscription.premium";"Премиум";"Premium"
"superadmin.companiesTable.toEdit";"Редактировать";"Խմբագրել"
"superadmin.companiesTable.toStats";"Статистика";"Վիճակագրություն"
"superadmin.companiesTable.toastErr";"Ошибка";"Սխալ"
"superadmin.companiesTable.toastOk";"Успешно";"Հաջողություն"
"superadmin.companyDetail.activity.actions.approve";"Одобрение";"Հաստատել"
"superadmin.companyDetail.activity.actions.block";"Блокировка";"Արգելել"
"superadmin.companyDetail.activity.actions.cancel";"Отмена";"Չեղարկել"
"superadmin.companyDetail.activity.actions.complete";"Завершение";"Ավարտել"
"superadmin.companyDetail.activity.actions.confirm";"Подтверждение";"Հաստատել"
"superadmin.companyDetail.activity.actions.create";"Создание";"Ստեղծել"
"superadmin.companyDetail.activity.actions.delete";"Удаление";"Ջնջել"
"superadmin.companyDetail.activity.actions.login";"Вход";"Մուտք"
"superadmin.companyDetail.activity.actions.logout";"Выход";"Ելք"
"superadmin.companyDetail.activity.actions.reject";"Отклонение";"Մերժել"
"superadmin.companyDetail.activity.actions.unblock";"Разблокировка";"Բացել արգելքը"
"superadmin.companyDetail.activity.actions.update";"Обновление";"Թարմացնել"
"superadmin.companyDetail.activity.categories.advertisement";"Объявления";"Հայտարարություններ"
"superadmin.companyDetail.activity.categories.booking";"Бронирования";"Ամրագրումներ"
"superadmin.companyDetail.activity.categories.company";"Компания";"Ընկերություն"
"superadmin.companyDetail.activity.categories.review";"Отзывы";"Կարծիքներ"
"superadmin.companyDetail.activity.categories.service";"Услуги";"Ծառայություններ"
"superadmin.companyDetail.activity.categories.user";"Пользователи";"Օգտատերեր"
"superadmin.companyDetail.activity.filters.allCategories";"Все категории";"Բոլոր կատեգորիաները"
"superadmin.companyDetail.activity.filters.category";"Категория";"Կատեգորիա"
"superadmin.companyDetail.activity.noActivity";"Нет записей активности";"Ակտիվության գրառումներ չկան"
"superadmin.companyDetail.activity.table.action";"Действие";"Գործողություն"
"superadmin.companyDetail.activity.table.date";"Дата";"Ամսաթիվ"
"superadmin.companyDetail.activity.table.description";"Описание";"Նկարագրություն"
"superadmin.companyDetail.activity.table.next";"Вперёд";"Հաջորդ"
"superadmin.companyDetail.activity.table.prev";"Назад";"Նախորդ"
"superadmin.companyDetail.activity.table.system";"Система";"Համակարգ"
"superadmin.companyDetail.activity.table.user";"Пользователь";"Օգտատեր"
"superadmin.companyDetail.activity.title";"История активности";"Ակտիվության պատմություն"
"superadmin.companyDetail.approve";"Одобрить";"Հաստատել"
"superadmin.companyDetail.approveFail";"Не удалось одобрить";"Հնարավոր չէր հաստատել"
"superadmin.companyDetail.approved";"Компания одобрена";"Ընկերությունը հաստատվել է"
"superadmin.companyDetail.back";"Назад";"Հետ"
"superadmin.companyDetail.backList";"К списку компаний";"Հետ ընկերություններ"
"superadmin.companyDetail.badId";"Некорректный ID компании";"Անվավեր ընկերության ID"
"superadmin.companyDetail.block";"Заблокировать";"Արգելել"
"superadmin.companyDetail.blockFail";"Не удалось заблокировать";"Հնարավոր չէր արգելել"
"superadmin.companyDetail.blocked";"Компания заблокирована";"Ընկերությունը արգելվել է"
"superadmin.companyDetail.cancel";"Отмена";"Չեղարկել"
"superadmin.companyDetail.category";"Категория";"Կատեգորիա"
"superadmin.companyDetail.confirm";"Подтвердить";"Հաստատել"
"superadmin.companyDetail.confirmApproveMsg";"Одобрить ""{name}""?";"Հաստատե՞լ «{name}»-ը"
"superadmin.companyDetail.confirmApproveTitle";"Одобрить компанию?";"Հաստատե՞լ ընկերությունը"
"superadmin.companyDetail.confirmBlockMsg";"Заблокировать ""{name}""?";"Արգելե՞լ «{name}»-ը"
"superadmin.companyDetail.confirmBlockTitle";"Заблокировать компанию?";"Արգելե՞լ ընկերությունը"
"superadmin.companyDetail.confirmRejectMsg";"Отклонить ""{name}""?";"Մերժե՞լ «{name}»-ը"
"superadmin.companyDetail.confirmRejectTitle";"Отклонить компанию?";"Մերժե՞լ ընկերությունը"
"superadmin.companyDetail.description";"Описание";"Նկարագրություն"
"superadmin.companyDetail.edit.category";"Категория";"Կատեգորիա"
"superadmin.companyDetail.edit.description";"Описание";"Նկարագրություն"
"superadmin.companyDetail.edit.descriptionPlaceholder";"Введите описание компании";"Մուտքագրեք ընկերության նկարագրությունը"
"superadmin.companyDetail.edit.email";"Email";"Էլ. փոստ"
"superadmin.companyDetail.edit.errorMessage";"Не удалось сохранить";"Հնարավոր չէր պահել"
"superadmin.companyDetail.edit.errorTitle";"Ошибка";"Սխալ"
"superadmin.companyDetail.edit.name";"Название";"Անուն"
"superadmin.companyDetail.edit.namePlaceholder";"Введите название компании";"Մուտքագրեք ընկերության անունը"
"superadmin.companyDetail.edit.owner";"Владелец";"Սեփականատեր"
"superadmin.companyDetail.edit.ownerHint";"Изменение владельца передаст права управления компанией другому пользователю";"Սեփականատիրոջ փոխումը կփոխանցի կառավարման իրավունքները այլ օգտատիրոջ"
"superadmin.companyDetail.edit.phone";"Телефон";"Հեռախոս"
"superadmin.companyDetail.edit.save";"Сохранить";"Պահել"
"superadmin.companyDetail.edit.selectCategory";"Выберите категорию";"Ընտրեք կատեգորիա"
"superadmin.companyDetail.edit.selectOwner";"Выберите владельца";"Ընտրեք սեփականատիրոջը"
"superadmin.companyDetail.edit.slug";"Slug (URL)";"Slug (URL)"
"superadmin.companyDetail.edit.slugHint";"Используется в URL компании. Только латинские буквы, цифры и дефисы.";"Օգտագործվում է ընկերության URL-ում։ Միայն լատինական տառեր, թվեր և գծիկներ։"
"superadmin.companyDetail.edit.status";"Статус";"Կարգավիճակ"
"superadmin.companyDetail.edit.statusActive";"Активна";"Ակտիվ"
"superadmin.companyDetail.edit.statusPending";"На модерации";"Սպասում"
"superadmin.companyDetail.edit.statusRejected";"Отклонена";"Մերժված"
"superadmin.companyDetail.edit.statusSuspended";"Заблокирована";"Կասեցված"
"superadmin.companyDetail.edit.subscription";"Подписка";"Բաժանորդագրություն"
"superadmin.companyDetail.edit.subscriptionBasic";"Базовый";"Հիմնական"
"superadmin.companyDetail.edit.subscriptionEnterprise";"Корпоративный";"Enterprise"
"superadmin.companyDetail.edit.subscriptionPremium";"Премиум";"Premium"
"superadmin.companyDetail.edit.successMessage";"Компания обновлена";"Ընկերությունը թարմացվել է"
"superadmin.companyDetail.edit.successTitle";"Успешно";"Հաջողություն"
"superadmin.companyDetail.edit.title";"Данные компании";"Ընկերության մանրամասներ"
"superadmin.companyDetail.notFound";"Компания не найдена";"Ընկերությունը չի գտնվել"
"superadmin.companyDetail.reject";"Отклонить";"Մերժել"
"superadmin.companyDetail.rejectFail";"Не удалось отклонить";"Հնարավոր չէր մերժել"
"superadmin.companyDetail.rejected";"Компания отклонена";"Ընկերությունը մերժվել է"
"superadmin.companyDetail.stats.bookingsTotal";"Бронирований";"Ամրագրումներ"
"superadmin.companyDetail.stats.bookingsWord";"бронирований";"ամրագրումներ"
"superadmin.companyDetail.stats.chartError";"Не удалось загрузить график";"Հնարավոր չէր բեռնել գրաֆիկը"
"superadmin.companyDetail.stats.chartTitle";"Выручка";"Եկամուտ"
"superadmin.companyDetail.stats.clientsActive";"Активных";"Ակտիվ"
"superadmin.companyDetail.stats.clientsAll";"Всего";"Ընդհանուր"
"superadmin.companyDetail.stats.clientsNew";"Новых (месяц)";"Նոր (ամիս)"
"superadmin.companyDetail.stats.clientsSection";"Клиенты";"Հաճախորդներ"
"superadmin.companyDetail.stats.clientsTotal";"Клиентов";"Հաճախորդներ"
"superadmin.companyDetail.stats.month";"Этот месяц";"Այս ամիս"
"superadmin.companyDetail.stats.noChartData";"Нет данных";"Տվյալներ չկան"
"superadmin.companyDetail.stats.periodMonth";"Этот месяц";"Այս ամիս"
"superadmin.companyDetail.stats.periodWeek";"Эта неделя";"Այս շաբաթ"
"superadmin.companyDetail.stats.periodYear";"Этот год";"Այս տարի"
"superadmin.companyDetail.stats.rating";"Рейтинг";"Գնահատական"
"superadmin.companyDetail.stats.revenue";"Выручка";"Եկամուտ"
"superadmin.companyDetail.stats.revenueTotal";"Выручка (всего)";"Եկամուտ (ընդհանուր)"
"superadmin.companyDetail.stats.week";"Эта неделя";"Այս շաբաթ"
"superadmin.companyDetail.stats.year";"Этот год";"Այս տարի"
"superadmin.companyDetail.status.active";"Активна";"Ակտիվ"
"superadmin.companyDetail.status.pending";"На модерации";"Սպասում"
"superadmin.companyDetail.status.rejected";"Отклонена";"Մերժված"
"superadmin.companyDetail.status.suspended";"Заблокирована";"Կասեցված"
"superadmin.companyDetail.subtitle";"Профиль компании";"Ընկերության պրոֆիլ"
"superadmin.companyDetail.tabs.activity";"Активность";"Ակտիվություն"
"superadmin.companyDetail.tabs.edit";"Редактирование";"Խմբագրել"
"superadmin.companyDetail.tabs.info";"Обзор";"Ակնարկ"
"superadmin.companyDetail.tabs.stats";"Статистика";"Վիճակագրություն"
"superadmin.companyDetail.tabs.users";"Пользователи";"Օգտատերեր"
"superadmin.companyDetail.toastErr";"Ошибка";"Սխալ"
"superadmin.companyDetail.toastOk";"Успешно";"Հաջողություն"
"superadmin.companyDetail.users.blockedLabel";"Заблокировать аккаунт";"Արգելել հաշիվը"
"superadmin.companyDetail.users.edit";"Редактировать";"Խմբագրել"
"superadmin.companyDetail.users.editTitle";"Редактирование пользователя";"Խմբագրել օգտատիրոջը"
"superadmin.companyDetail.users.firstName";"Имя";"Անուն"
"superadmin.companyDetail.users.lastName";"Фамилия";"Ազգանուն"
"superadmin.companyDetail.users.neverLoggedIn";"Не входил";"Երբեք չի մուտք գործել"
"superadmin.companyDetail.users.noUsers";"Нет пользователей";"Օգտատերեր չկան"
"superadmin.companyDetail.users.owner";"Владелец";"Սեփականատեր"
"superadmin.companyDetail.users.ownerNote";"Для владельца можно менять только имя и телефон. Владельца нельзя заблокировать.";"Սեփականատիրոջ համար կարող եք խմբագրել միայն անունը և հեռախոսը։ Սեփականատիրոջը արգելել հնարավոր չէ։"
"superadmin.companyDetail.users.phone";"Телефон";"Հեռախոս"
"superadmin.companyDetail.users.roleInCompany";"Роль в компании";"Դեր ընկերությունում"
"superadmin.companyDetail.users.save";"Сохранить";"Պահել"
"superadmin.companyDetail.users.saveError";"Не удалось сохранить";"Հնարավոր չէր պահել"
"superadmin.companyDetail.users.saved";"Изменения сохранены";"Փոփոխությունները պահվել են"
"superadmin.companyDetail.users.statuses.active";"Активен";"Ակտիվ"
"superadmin.companyDetail.users.statuses.blocked";"Заблокирован";"Արգելված"
"superadmin.companyDetail.users.table.actions";"Действия";"Գործողություններ"
"superadmin.companyDetail.users.table.contacts";"Контакты";"Կոնտակտներ"
"superadmin.companyDetail.users.table.joined";"Присоединился";"Միացել է"
"superadmin.companyDetail.users.table.lastLogin";"Последний вход";"Վերջին մուտք"
"superadmin.companyDetail.users.table.role";"Роль";"Դեր"
"superadmin.companyDetail.users.table.status";"Статус";"Կարգավիճակ"
"superadmin.companyDetail.users.table.user";"Пользователь";"Օգտատեր"
"superadmin.companyDetail.users.title";"Пользователи компании";"Ընկերության օգտատերեր"
"superadmin.companyDetail.users.total";"{count} пользователей";"{count} օգտատեր"
"superadmin.dashboard.activity.columnAction";"Действие";"Գործողություն"
"superadmin.dashboard.activity.columnTime";"Время";"Ժամ"
"superadmin.dashboard.activity.columnUser";"Пользователь";"Օգտատեր"
"superadmin.dashboard.activity.empty";"Записей пока нет";"Գրառումներ դեռ չկան"
"superadmin.dashboard.activity.title";"Последняя активность";"Վերջին ակտիվություն"
"superadmin.dashboard.activity.viewAll";"Весь журнал активности";"Ամբողջ ակտիվության մատյան"
"superadmin.dashboard.activitySynthetic.new_booking";"Бронирование #{id} · {company}";"Ամրագրում #{id} · {company}"
"superadmin.dashboard.activitySynthetic.new_booking_short";"Бронирование #{id}";"Ամրագրում #{id}"
"superadmin.dashboard.activitySynthetic.new_company";"Новая компания: {name}";"Նոր ընկերություն՝ {name}"
"superadmin.dashboard.activitySynthetic.new_user";"Регистрация: {email} ({role})";"Գրանցում՝ {email} ({role})"
"superadmin.dashboard.businessEvents.title";"Последние бизнес-события";"Վերջին բիզնես իրադարձություններ"
"superadmin.dashboard.cards.active";"активных";"ակտիվ"
"superadmin.dashboard.cards.adsActive";"Объявления";"Առաջարկներ և գովազդներ"
"superadmin.dashboard.cards.avgRating";"Средний рейтинг";"Միջին գնահատական"
"superadmin.dashboard.cards.bookingsToday";"Бронирований сегодня";"Ամրագրումներ այսօր"
"superadmin.dashboard.cards.businessesWord";"бизнесов";"բիզնեսներ"
"superadmin.dashboard.cards.clientsWord";"клиентов";"հաճախորդներ"
"superadmin.dashboard.cards.companies";"Компании";"Ընկերություններ"
"superadmin.dashboard.cards.marketplace";"маркетплейс";"շուկա"
"superadmin.dashboard.cards.onModeration";"на модерации";"մոդերացիայի սպասում"
"superadmin.dashboard.cards.pendingCompanies";"компаний на одобрении";"ընկերություններ հաստատման սպասում"
"superadmin.dashboard.cards.promo";"реклама";"պրոմո"
"superadmin.dashboard.cards.revenueMonth";"Выручка за месяц";"Եկամուտ այս ամիս"
"superadmin.dashboard.cards.users";"Пользователи";"Օգտատերեր"
"superadmin.dashboard.cards.vsLastMonth";"к прошлому месяцу";"նախորդ ամսվա համեմատ"
"superadmin.dashboard.cards.vsYesterday";"вчера";"երեկ"
"superadmin.dashboard.charts.activityTitle";"Регистрации и бронирования";"Գրանցումներ և ամրագրումներ"
"superadmin.dashboard.charts.days14";"14 дней";"14 օր"
"superadmin.dashboard.charts.days30";"30 дней";"30 օր"
"superadmin.dashboard.charts.revenueTitle";"Выручка (оплаченные заказы)";"Եկամուտ (վճարված պատվերներ)"
"superadmin.dashboard.charts.sectionTitle";"Динамика по дням";"Օրական միտումներ"
"superadmin.dashboard.charts.seriesBookings";"Бронирования";"Ամրագրումներ"
"superadmin.dashboard.charts.seriesCompanies";"Новые компании";"Նոր ընկերություններ"
"superadmin.dashboard.charts.seriesRevenue";"Выручка";"Եկամուտ"
"superadmin.dashboard.charts.seriesUsers";"Новые пользователи";"Նոր օգտատերեր"
"superadmin.dashboard.kpi.activeBusinesses";"Активные бизнесы";"Ակտիվ բիզնեսներ"
"superadmin.dashboard.kpi.gmv";"Общий оборот (GMV)";"Ընդհանուր ապրանքաշրջանառություն (GMV)"
"superadmin.dashboard.kpi.newPerMonth";"новых за месяц";"նոր այս ամիս"
"superadmin.dashboard.kpi.newUsers";"Новые пользователи";"Նոր օգտատերեր"
"superadmin.dashboard.kpi.pendingCompanies";"Ожидают одобрения (компании)";"Հաստատման սպասում (ընկերություններ)"
"superadmin.dashboard.kpi.pendingModeration";"Объявления на модерации";"Մոդերացիայի սպասում"
"superadmin.dashboard.kpi.pendingUserVerifications";"Ожидают верификации (пользователи)";"Ստուգման սպասում (օգտատերեր)"
"superadmin.dashboard.kpi.perMonth";"за месяц";"ամիսը"
"superadmin.dashboard.kpi.retentionRate";"Retention Rate";"Պահպանման աստիճան"
"superadmin.dashboard.kpi.takeRate";"Take Rate";"Միջնորդավճարի տոկոս"
"superadmin.dashboard.newBusinesses";"Новых бизнесов (за месяц)";"Նոր բիզնեսներ (այս ամիս)"
"superadmin.dashboard.newUsers";"Новых пользователей (за месяц)";"Նոր օգտատերեր (այս ամիս)"
"superadmin.dashboard.overviewChart.chartError";"Не удалось загрузить график";"Հնարավոր չէր բեռնել գրաֆիկը"
"superadmin.dashboard.overviewChart.noData";"Нет данных за этот период";"Տվյալներ չկան այս ժամանակահատվածում"
"superadmin.dashboard.overviewChart.periodTotal";"за период";"ժամանակահատվածի ընդհանուր"
"superadmin.dashboard.overviewChart.periods.days14";"14 дней";"14 օր"
"superadmin.dashboard.overviewChart.periods.days30";"30 дней";"30 օր"
"superadmin.dashboard.overviewChart.periods.days7";"7 дней";"7 օր"
"superadmin.dashboard.overviewChart.selectPeriod";"Период";"Ժամանակահատված"
"superadmin.dashboard.overviewChart.seriesBookings";"Бронирования";"Ամրագրումներ"
"superadmin.dashboard.overviewChart.seriesCompanies";"Компании";"Ընկերություններ"
"superadmin.dashboard.overviewChart.seriesRevenue";"Выручка";"Եկամուտ"
"superadmin.dashboard.overviewChart.seriesUsers";"Пользователи";"Օգտատերեր"
"superadmin.dashboard.overviewChart.stats.bookings";"Бронирования";"Ամրագրումներ"
"superadmin.dashboard.overviewChart.stats.companies";"Новые компании";"Նոր ընկերություններ"
"superadmin.dashboard.overviewChart.stats.revenue";"Выручка";"Եկամուտ"
"superadmin.dashboard.overviewChart.stats.users";"Новые пользователи";"Նոր օգտատերեր"
"superadmin.dashboard.overviewChart.title";"Тренды платформы";"Հարթակի միտումներ"
"superadmin.dashboard.pageTitle";"Дашборд";"Վահանակ"
"superadmin.dashboard.pendingActions.advertisements";"Объявления на модерации";"Հայտարարություններ մոդերացիայի սպասում"
"superadmin.dashboard.pendingActions.companies";"Новые компании на одобрение";"Նոր ընկերություններ հաստատման սպասում"
"superadmin.dashboard.pendingActions.inactiveBusinesses";"Неактивные бизнесы";"Ոչ ակտիվ բիզնեսներ"
"superadmin.dashboard.pendingActions.item";"элемент";"տարր"
"superadmin.dashboard.pendingActions.items";"элементов";"տարրեր"
"superadmin.dashboard.pendingActions.paymentIssues";"Проблемы с платежами";"Վճարման խնդիրներ"
"superadmin.dashboard.pendingActions.reviews";"Жалобы / отзывы на модерации";"Բողոքներ / կարծիքներ մոդերացիայի սպասում"
"superadmin.dashboard.pendingActions.title";"Требуют внимания";"Պահանջում է ուշադրություն"
"superadmin.dashboard.pendingActions.userVerifications";"Пользователи на верификации";"Օգտատերեր ստուգման սպասում"
"superadmin.dashboard.quickActions.activityLog";"Журнал активности";"Ակտիվության մատյան"
"superadmin.dashboard.quickActions.activityLogDesc";"Действия в системе";"Գործողություններ համակարգում"
"superadmin.dashboard.quickActions.adsDesc";"Маркетплейс и реклама";"Շուկա և պրոմո"
"superadmin.dashboard.quickActions.adsDescPending";"{count} на модерации";"{count} մոդերացիայի սպասում"
"superadmin.dashboard.quickActions.advertisements";"Объявления";"Հայտարարություններ"
"superadmin.dashboard.quickActions.companies";"Компании";"Ընկերություններ"
"superadmin.dashboard.quickActions.companiesDesc";"Все бизнесы на платформе";"Բոլոր բիզնեսները հարթակում"
"superadmin.dashboard.quickActions.companiesDescPending";"{count} ожидают одобрения";"{count} հաստատման սպասում"
"superadmin.dashboard.quickActions.manage";"Управление";"Կառավարել"
"superadmin.dashboard.quickActions.reviews";"Отзывы";"Կարծիքներ"
"superadmin.dashboard.quickActions.reviewsDesc";"Модерация и ответы";"Մոդերացիա և պատասխաններ"
"superadmin.dashboard.quickActions.settings";"Настройки";"Կարգավորումներ"
"superadmin.dashboard.quickActions.settingsDesc";"Платформа и интеграции";"Հարթակ և ինտեգրացիաներ"
"superadmin.dashboard.quickActions.title";"Быстрые действия";"Արագ գործողություններ"
"superadmin.dashboard.quickActions.users";"Пользователи";"Օգտատերեր"
"superadmin.dashboard.quickActions.usersDesc";"Аккаунты и роли";"Հաշիվներ և դերեր"
"superadmin.dashboard.quickStats";"Быстрая статистика";"Արագ վիճակագրություն"
"superadmin.dashboard.revenue";"Выручка (за месяц)";"Եկամուտ (այս ամիս)"
"superadmin.dashboard.servicesCount";"услуг";"ծառայություններ"
"superadmin.dashboard.title";"Обзор платформы";"Հարթակի ակնարկ"
"superadmin.dashboard.topBusinesses.bookings";"бронирований";"ամրագրումներ"
"superadmin.dashboard.topBusinesses.category";"Категория";"Կատեգորիա"
"superadmin.dashboard.topBusinesses.company";"Компания";"Ընկերություն"
